model,property,R2,RMSE,MAPE,RPE_full,RPE_lowVf
baseline,E11,0.9367901883379433,5.748104306788123,2.724304547980997,2.724304547980997,5.51428184790507
baseline,E22,0.9092023625420977,0.17320016104938096,1.4521955546907397,1.4521955546907397,1.871516528220737
baseline,E33,0.6749633278366103,0.39456042296755817,1.9611879824649676,1.9611879824649676,2.273580736525558
baseline,G12,0.7817877644929618,0.38650586936706804,4.758956972469497,4.758956972469497,5.843613970066135
baseline,G13,0.48657870446446905,0.8604986325774984,6.1359874167216235,6.1359874167216235,7.853363008754788
baseline,nu12,0.8261711404308922,0.005005612029104484,0.9840531696027256,0.9840531696027256,1.135721383288031
baseline,nu13,0.6415550606439266,0.009073170525816151,1.50441650044783,1.50441650044783,1.5643231742481563
baseline,nu23,0.7241213469817007,0.012907709677212626,1.5131985076356422,1.5131985076356422,1.4551003817795463
physics_informed,E11,0.9373932222530952,5.720619579934061,2.683803148095243,2.683803148095243,5.430256115128805
physics_informed,E22,0.9084510454413676,0.17391526864264448,1.4527309374485133,1.4527309374485133,1.835487244345127
physics_informed,E33,0.6714258128614976,0.3967016986694855,1.8874404798675513,1.8874404798675513,2.226486242329263
physics_informed,G12,0.7801360165046021,0.3879659312578657,4.767596111438474,4.767596111438474,6.025493169778244
physics_informed,G13,0.4793589317952489,0.8665277126419834,5.942386699868927,5.942386699868927,7.250741705704505
physics_informed,nu12,0.8241748796149702,0.005034272350818704,0.9975150938003863,0.9975150938003863,1.1194230926976236
physics_informed,nu13,0.6384218774099111,0.009112738741587549,1.462320870709165,1.462320870709165,1.4817952784067887
physics_informed,nu23,0.7206078757437384,0.012989643139899303,1.487858919277101,1.487858919277101,1.415760827384849
