model,property,RPE_full,RPE_lowVf
baseline,E11,2.724304547980997,5.51428184790507
baseline,E22,1.4521955546907397,1.871516528220737
baseline,E33,1.9611879824649676,2.273580736525558
baseline,G12,4.758956972469497,5.843613970066135
baseline,G13,6.1359874167216235,7.853363008754788
baseline,nu12,0.9840531696027256,1.135721383288031
baseline,nu13,1.50441650044783,1.5643231742481563
baseline,nu23,1.5131985076356422,1.4551003817795463
physics_informed,E11,2.683803148095243,5.430256115128805
physics_informed,E22,1.4527309374485133,1.835487244345127
physics_informed,E33,1.8874404798675513,2.226486242329263
physics_informed,G12,4.767596111438474,6.025493169778244
physics_informed,G13,5.942386699868927,7.250741705704505
physics_informed,nu12,0.9975150938003863,1.1194230926976236
physics_informed,nu13,1.462320870709165,1.4817952784067887
physics_informed,nu23,1.487858919277101,1.415760827384849
