Input_File,vf,baseline_RPE_mean_actionable,physics_RPE_mean_actionable,baseline_RPE_mu1,physics_RPE_mu1,baseline_RPE_mu2,physics_RPE_mu2,baseline_RPE_mu3,physics_RPE_mu3
6dtD0Y8XAL.csv,0.2757895290851593,29.10679356660879,23.205595954094246,18.210186419590297,14.0394178684359,45.087405034618364,32.292611174870736,24.02278924561772,23.284758818976105
4p5U9ijWr5.csv,0.10253755003213882,24.99860955906826,22.858260581763904,27.79279625897808,24.686745794318917,27.39499220919462,25.210964303088513,19.808040209032082,18.677071647884286
1LsW2MdlQ1.csv,0.39673420786857605,16.76856406930054,22.063278850684146,14.885847643966185,20.147745637800625,18.70748631503466,24.92377028033973,16.712358248900777,21.118320633912084
3foXrXeoo1.csv,0.34474968910217285,11.78434040222576,9.21558175796331,14.852488710204408,11.28065895472108,10.817914192574673,9.057490590157375,9.682618303898206,7.308595729011476
1aNk8pvElQ.csv,0.31200799345970154,11.292908398029256,11.434011212345384,19.010897885313916,17.20350397854903,5.293217272079344,7.144245999547197,9.574610036694507,9.95428365893993
4OIwPJtu7E.csv,0.20588617026805878,11.253842789879362,10.305556183632525,14.973960159944586,13.076101378765706,10.67061868394388,9.755984287335988,8.11694952574962,8.08458288479588
4NQjnRlmGw.csv,0.4170529842376709,11.06777350386057,10.667918328056183,11.24417548622832,10.363899885773197,13.370620147889504,13.49388275366029,8.58852487746388,8.14597234473506
5M5PV1JvrP.csv,0.4187888205051422,10.813570346697064,10.436998144658562,12.054821462733216,13.217294997081149,10.524304040205704,8.617072681075387,9.861585537152274,9.47662675581915
3ndGFuukvg.csv,0.4346427023410797,10.572992272608284,10.983551960007782,7.190800430994463,7.886399145947691,16.329786753743207,16.302236479610375,8.198389633087181,8.762020254465279
3Hlk36Vzh4.csv,0.3422299921512604,9.77688124292355,7.491839103942713,12.29289982158924,9.59110908798996,9.299622097783171,8.54644042446118,7.7381218093982405,4.337967799377002
5MLnKgqwtn.csv,0.43431270122528076,9.773260477517555,8.766957992600327,7.117104423458461,6.718563275753282,13.470945505911846,11.533090619293949,8.73173150318236,8.049220082753752
3CenR3qrop.csv,0.3452935814857483,9.593139928487647,9.9793841916508,7.21752554122476,6.577936014744118,13.616969710554539,14.705196374118087,7.9449245336836425,8.655020186090193
5gbF7POXoj.csv,0.3638032078742981,9.536922741875431,9.813206358149394,11.825732881246505,11.443598892096816,9.35549429445487,10.008368152370045,7.429541049924921,7.987652029981319
6jbbfNlYbK.csv,0.39096102118492126,9.216461393729054,7.348603972880595,1.0569820630075621,1.263100437205042,18.082845724645676,14.524474198590157,8.509556393533922,6.258237282846586
0EjvnJNwnU.csv,0.3949149549007416,8.933632473802058,11.143775873055985,10.503853071388036,11.594625516911645,9.371586527320684,12.626352994645648,6.925457822697453,9.210349107610663
00Ogdoc3md.csv,0.44572433829307556,8.929188139963193,10.423871420114164,9.021425688182442,10.871411503059115,8.871066808764152,10.43030387510338,8.895071922942984,9.969898882179997
5B9ZUukAdb.csv,0.4496476650238037,8.631343347244927,8.637378027281548,7.03770370280962,5.2655801692853155,11.596587276644645,13.353525166799201,7.259739062280518,7.293028745760124
0BNrVvsho5.csv,0.4111166298389435,8.41879475394702,8.3025250209186,5.563545134841197,4.23684004041184,12.297712209929752,13.274232320978859,7.395126917070116,7.396502701365101
3uLKi0RA8a.csv,0.415073961019516,8.38160629118456,6.5812503425962605,8.546825584350506,5.843552627829638,10.144666315524118,8.474293915807326,6.453326973679058,5.425904484151819
4lful7N2wC.csv,0.31204816699028015,8.379721252404583,9.238553204729923,7.538216518486808,7.643687095765276,12.320432566578447,13.51250872243116,5.280514672148492,6.559463795993331
