property,percentile,baseline_RPE,physics_RPE,pct_change
E11,p50,3.802408428602306,3.6102762286021974,5.052908008378591
E11,p90,11.116062287445837,12.079257198705237,-8.664893074116765
E11,p95,15.643755861303122,14.687152145015833,6.114923582089216
E11,max,125.10782583456101,108.50748415828562,13.268827561776355
E22,p50,1.3846373499848041,1.4196182040638239,-2.526354939031772
E22,p90,3.8466635125867747,3.805550013961706,1.0688093328293558
E22,p95,4.791484262188931,4.291515641620409,10.434524944888734
E22,max,15.00877225770118,12.285019234678177,18.147740376468253
E33,p50,1.5866195644691183,1.4738670688383764,7.106460688858887
E33,p90,4.1804782242743315,4.115072737270914,1.5645455733660882
E33,p95,5.2097149258956,5.097310719490156,2.157588428624453
E33,max,34.57816255049792,35.05470924346686,-1.378172400783268
G12,p50,4.890773430641074,4.7626697522547925,2.619292841980825
G12,p90,11.360870250749798,11.32075088561778,0.35313637288807115
G12,p95,13.079346460152655,14.808513890715252,-13.220595049077213
G12,max,27.54179957892986,30.594047995536993,-11.082240315706075
G13,p50,5.947349338438331,6.404224469918772,-7.681995885589062
G13,p90,14.211195718204497,16.69689643573638,-17.491144072751805
G13,p95,18.58036851341978,21.696472032785465,-16.7709457275568
G13,max,71.94239799665819,73.27274922869191,-1.8491894475014816
nu12,p50,0.9395081722159884,0.7961180555258246,15.262253265126372
nu12,p90,2.0097997909656926,2.023187864691279,-0.666139671511938
nu12,p95,2.3272267764055585,2.663624989296908,-14.454896115062848
nu12,max,14.922747549429818,15.335773675688893,-2.76776193452965
nu13,p50,0.9151486480490825,0.9351088375121972,-2.181087138757834
nu13,p90,2.3965513331339534,2.454877861960088,-2.43376922579252
nu13,p95,2.939564142098814,2.8902681312094933,1.6769836787478227
nu13,max,50.86951462726583,51.06353789241265,-0.3814136355899537
nu23,p50,0.9891083635291633,0.9587979247338337,3.0644204328817093
nu23,p90,2.360106098834511,2.4240895815397465,-2.7110426407030004
nu23,p95,2.890815209663428,2.9930752484751264,-3.53741181621929
nu23,max,41.528659395180675,41.58883726159191,-0.14490683611670083
