Input_File,vf_otsu,baseline_RPE_mean_actionable,physics_RPE_mean_actionable,baseline_RPE_E11,physics_RPE_E11,baseline_RPE_E22,physics_RPE_E22,baseline_RPE_E33,physics_RPE_E33,baseline_RPE_G12,physics_RPE_G12,baseline_RPE_G13,physics_RPE_G13
4p5U9ijWr5.csv,0.26245808601379395,43.80735791144791,37.201814683874815,125.10782583456101,108.50748415828562,15.00877225770118,12.285019234678177,15.268787549238546,12.093111588008737,25.20644982970041,21.888334103185237,38.44495408603839,31.23512433521632
3RQrLaRkfH.csv,0.343623548746109,24.15870607684198,25.126790815449716,3.9917780967814007,4.89848282133942,8.286526075916008,8.262239988232146,34.57816255049792,35.05470924346686,1.99466566435639,4.14577279551824,71.94239799665819,73.27274922869191
3PmY6k6zb2.csv,0.2992253303527832,20.617505106786552,19.839951754187297,3.7723174535504564,6.103949316417472,4.9697720751351575,4.230016252935727,20.384525189023677,20.281727440735587,6.267151294994594,0.6149214336599775,67.69375952122888,67.96914432718772
6GY0eDN0Ot.csv,0.28373223543167114,16.615407429410748,14.49415746874875,3.868013686924093,1.9140612017659482,4.96273038280721,4.234511117026955,15.350197553009783,14.25102530357329,5.544145091578252,1.2944602540730592,53.351950432734405,50.776729467304506
3CenR3qrop.csv,0.4253670871257782,14.654703515633628,14.167059756611952,20.325543029463088,20.950563309765357,6.987779446117004,6.485911521331,8.08569645215438,7.273654876343366,10.245208172510607,10.487643304631936,27.629290477923064,25.637525770988095
5mhIVZWHJ8.csv,0.38663429021835327,12.564158713372711,11.457407939579747,15.56643559959062,13.208591548168078,5.669927669400039,4.293157845118272,6.967044649673864,5.344269265596238,11.974789077509335,10.080013797835862,22.642596570689708,24.361007241180285
2yzVoDStEa.csv,0.26396116614341736,12.502421455625475,12.559301344613646,19.522355531957395,20.59767026438555,4.196184722106841,4.114298592847765,4.730779751164152,4.024286912707454,15.357029793713616,17.634333990993856,18.705757479185362,16.425916962133606
4OIwPJtu7E.csv,0.2566770613193512,12.339954939625008,17.049685424022904,24.28593660284452,29.61272205943858,4.699274812625244,5.698473682368336,4.141933002843324,5.871346152814036,18.871049223035737,21.716662206190808,9.701581056776218,22.349223019302773
1aNk8pvElQ.csv,0.4165799617767334,12.272305681530186,13.289376985086491,16.850258573851686,18.89118923474054,6.053379723689097,6.408002704375459,4.203350047913408,4.340903957300781,27.54179957892986,30.594047995536993,6.71274048326688,6.212741033478679
1OV49meFA0.csv,0.354954332113266,11.547063535375443,9.54130580603532,16.052588182043902,12.289240945455038,5.140094250875435,4.06964681116569,5.218185258808947,4.46225744667401,12.81159860714138,10.309485589063017,18.51285137800755,16.575898237818837
5Njq6z7LM8.csv,0.3839750289916992,10.799147523792428,10.529372777802035,12.885188382074025,13.509866216291444,4.057860004268188,3.680156182544997,4.938744005891777,4.433055010270529,10.721302864527251,9.15345853855207,21.3926423622009,21.870327941351135
5gbF7POXoj.csv,0.4066365957260132,10.755864856413519,12.044285850213933,14.229933080047807,14.208702174440479,6.0992349341017436,5.975765616304337,5.205153977403798,5.5206142295605485,19.43555790653633,23.32097279106826,8.809444383977908,11.195374439696042
3foXrXeoo1.csv,0.34292981028556824,10.617400519179558,8.376342404814316,19.4136943134157,16.84384921830604,6.433199110203391,5.828406861436432,6.091934687511853,5.470515114571825,16.196921876321174,12.05365693188431,4.951252608445668,1.6852838978729805
5zV7IWGlH4.csv,0.18210197985172272,10.455842971260292,6.923847030466803,15.836718993573632,12.574090407231427,5.4892711228336974,4.160050078006804,5.866167094146878,3.255857843278784,13.079155117312698,10.250158164425004,12.00790252843455,4.379078659391993
4Lyz8nXmmt.csv,0.2700890302658081,10.436273227286483,10.134010345989784,17.006805151582853,14.986250810561538,5.2818489533786055,4.454934027560432,4.058224244682801,3.871940215613855,15.17286094967058,17.322219479576802,10.661626837117574,10.034707196636298
3G8CRFCYrh.csv,0.44028210639953613,10.354673690863066,10.430197097214212,3.041817965645211,2.6981638710263782,3.711604710485598,4.016009779437228,11.001734783092427,11.386961187769767,5.294737807740936,5.596592622876883,28.72347318735116,28.4532580249608
1JMNRvy9It.csv,0.183720663189888,9.943924672461284,14.163283737925571,20.155445894205386,21.00251712385761,3.218850429376209,4.302994628407609,3.4692698531905064,5.2999407800240315,7.183327761025811,14.581716617275623,15.692729424508508,25.629249540062986
4lful7N2wC.csv,0.3650133013725281,9.15631626417547,10.052045890165354,14.316460923342422,14.697070405788443,4.126141641819219,4.290631378198482,4.901882887884855,5.471924916654887,2.6267348691286756,4.197745437396387,19.81036099870218,21.60285731278857
0L59uZQxyr.csv,0.34824836254119873,9.080600430231598,9.270046095599074,13.766600823353786,12.223612025920824,3.490296265444363,3.106798907216996,3.719392580148797,3.7740602900087685,10.430594184816428,10.497006448576315,13.996118297394622,16.748752806272467
4dthAq3yCz.csv,0.4181986451148987,8.755718860328727,9.959663270222098,12.175950054278834,13.346106139388283,4.444960265634069,4.614573491208439,4.834316954010525,4.988202225356533,5.278207481620487,8.95242190130838,17.045159546099722,17.897012593848853
